day,site,waterLevel
2017-10-28,BB Wetland Well Shallow,-0.21711067581304594
2017-10-28,DB Wetland Well Shallow,0.015850857325842925
2017-10-28,DF Wetland Well Shallow,0.2556770968220923
2017-10-28,DK Upland Well 1,-0.3563048933551246
2017-10-28,DK Wetland Well Shallow,-0.19295008829915697
2017-10-28,GR Wetland Well Shallow,-0.6300421911666667
2017-10-28,ND Upland Well 1,-0.07891074300081913
2017-10-28,ND Wetland Well Shallow,0.017392016353620816
2017-10-28,QB Upland Well 1,0.15558280928446525
2017-10-28,TB Upland Well 2,-0.016821301098550148
2017-10-28,TB Upland Well 3,-0.031491517428384526
2017-10-28,TB Wetland Well Shallow,-0.016836576838729963
2017-10-29,BB Wetland Well Shallow,-0.13245734640684273
2017-10-29,DB Wetland Well Shallow,0.057433409162601624
2017-10-29,DF Wetland Well Shallow,0.2652195505616288
2017-10-29,DK Upland Well 1,-0.3422409728100324
2017-10-29,DK Wetland Well Shallow,-0.10991910508739819
2017-10-29,GR Wetland Well Shallow,-0.28163866483333333
2017-10-29,ND Upland Well 1,-0.06602339521961596
2017-10-29,ND Wetland Well Shallow,0.058454794245935
2017-10-29,QB Upland Well 1,0.19193610949622406
2017-10-29,TB Upland Well 2,-0.013866309372902466
2017-10-29,TB Upland Well 3,-0.007061505758292432
2017-10-29,TB Wetland Well Shallow,0.02504445553969553
2017-10-30,BB Wetland Well Shallow,0.12342017315557716
2017-10-30,DB Wetland Well Shallow,0.25540853619724385
2017-10-30,DF Wetland Well Shallow,0.3307946576796043
2017-10-30,DK Upland Well 1,-0.22330901669205694
2017-10-30,DK Wetland Well Shallow,0.15385062239168837
2017-10-30,GR Wetland Well Shallow,0.1022052435
2017-10-30,ND Upland Well 1,0.06574888930113731
2017-10-30,ND Wetland Well Shallow,0.20360913341946602
2017-10-30,QB Upland Well 1,0.3870234461419773
2017-10-30,TB Upland Well 2,0.14782165657840635
2017-10-30,TB Upland Well 3,0.36804500445690524
2017-10-30,TB Wetland Well Shallow,0.2050983576437821
2017-10-31,BB Wetland Well Shallow,0.1432490718158231
2017-10-31,DB Wetland Well Shallow,0.260726606815823
2017-10-31,DF Wetland Well Shallow,0.3394870101037391
2017-10-31,DK Upland Well 1,-0.1901306377679222
2017-10-31,DK Wetland Well Shallow,0.1479273422186009
2017-10-31,GR Wetland Well Shallow,0.079529996875
2017-10-31,ND Upland Well 1,0.07549955529471655
2017-10-31,ND Wetland Well Shallow,0.20508271801026753
2017-10-31,QB Upland Well 1,0.37099289960777887
2017-10-31,TB Upland Well 2,0.24728714654420786
2017-10-31,TB Upland Well 3,0.4121538612004844
2017-10-31,TB Wetland Well Shallow,0.22809369934569465
2017-11-01,BB Wetland Well Shallow,0.1453739486594653
2017-11-01,DB Wetland Well Shallow,0.2531287367150209
2017-11-01,DF Wetland Well Shallow,0.33759362653522895
2017-11-01,DK Upland Well 1,-0.17869125604927985
2017-11-01,DK Wetland Well Shallow,0.12561045124279865
2017-11-01,GR Wetland Well Shallow,0.057682029791666665
2017-11-01,ND Upland Well 1,0.08649918276335877
2017-11-01,ND Wetland Well Shallow,0.19835692095113203
2017-11-01,QB Upland Well 1,0.3568571520581169
2017-11-01,TB Upland Well 2,0.2461683932072945
2017-11-01,TB Upland Well 3,0.3716551501830156
2017-11-01,TB Wetland Well Shallow,0.22804034096711465
2017-11-02,BB Wetland Well Shallow,0.14696292649261727
2017-11-02,DB Wetland Well Shallow,0.2500294810342839
2017-11-02,DF Wetland Well Shallow,0.33665058005831106
2017-11-02,DK Upland Well 1,-0.16886803921612809
2017-11-02,DK Wetland Well Shallow,0.10961988115928402
2017-11-02,GR Wetland Well Shallow,0.04125014741666667
2017-11-02,ND Upland Well 1,0.09856861615206634
2017-11-02,ND Wetland Well Shallow,0.1932313258398394
2017-11-02,QB Upland Well 1,0.3530118572151284
2017-11-02,TB Upland Well 2,0.23905399002655756
2017-11-02,TB Upland Well 3,0.35312838066894536
2017-11-02,TB Wetland Well Shallow,0.22465995414748885
2017-11-03,BB Wetland Well Shallow,0.14844877391889202
2017-11-03,DB Wetland Well Shallow,0.247313940432781
2017-11-03,DF Wetland Well Shallow,0.3327683806373637
2017-11-03,DK Upland Well 1,-0.16264863738707547
2017-11-03,DK Wetland Well Shallow,0.09479693590500328
2017-11-03,GR Wetland Well Shallow,0.024311492791666667
2017-11-03,ND Upland Well 1,0.10665998313389667
2017-11-03,ND Wetland Well Shallow,0.18928893461333643
2017-11-03,QB Upland Well 1,0.3460676652386253
2017-11-03,TB Upland Well 2,0.2335646693972768
2017-11-03,TB Upland Well 3,0.34098574110910895
2017-11-03,TB Wetland Well Shallow,0.22225209989320807
2017-11-04,BB Wetland Well Shallow,0.14603229713818794
2017-11-04,DB Wetland Well Shallow,0.24847321097152122
2017-11-04,DF Wetland Well Shallow,0.32963349695388167
2017-11-04,DK Upland Well 1,-0.17551405754277957
2017-11-04,DK Wetland Well Shallow,0.08566482397152136
2017-11-04,GR Wetland Well Shallow,0.004042366541666667
2017-11-04,ND Upland Well 1,0.09646353845041478
2017-11-04,ND Wetland Well Shallow,0.18882585895763235
2017-11-04,QB Upland Well 1,0.33898172062458803
2017-11-04,TB Upland Well 2,0.21936546964435047
2017-11-04,TB Upland Well 3,0.3177751199256271
2017-11-04,TB Wetland Well Shallow,0.21772430701528173
2017-11-05,BB Wetland Well Shallow,0.16580045410320285
2017-11-05,DB Wetland Well Shallow,0.26797900247820283
2017-11-05,DF Wetland Well Shallow,0.3395857867105632
2017-11-05,DK Upland Well 1,-0.15900192318887565
2017-11-05,DK Wetland Well Shallow,0.12118588458931416
2017-11-05,GR Wetland Well Shallow,0.06594518883333333
2017-11-05,ND Upland Well 1,0.1107701742348739
2017-11-05,ND Wetland Well Shallow,0.19671604826986944
2017-11-05,QB Upland Well 1,0.365601121339603
